Codigo;Produto ;Tipo;Arg1;Arg2;Arg3;DataInicio;DataFinal;Setor
303285;Conj Guia Peitoral Comum Triangulos N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279656;Conj Guia Peitoral Conforto Rosa  N.3;FIDELIDADE;57.99;46.39;;13/08/2026;09/09/2026;Coleiras
303230;Kit Peitoral 8 + Guia Premium Vibe G;FIDELIDADE;127.99;102.39;;13/08/2026;09/09/2026;Coleiras
303320;Conj Guia Peitoral Comum Bombom N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279666;Conj Guia Peit Comum Poa Rosa  N.4;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303313;Conj Guia Peitoral Comum Classic N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303223;Kit Peitoral 8 + Guia Premium Aventura M;FIDELIDADE;106.99;85.59;;13/08/2026;09/09/2026;Coleiras
303274;Conj Guia Peit Comum Candy Azul N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303281;Conj Guia Peit Comum Candy Azul N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279653;Conj Guia Peitoral Conforto Azul  N.3;FIDELIDADE;57.99;46.39;;13/08/2026;09/09/2026;Coleiras
303300;Conj Guia Peitoral Comum Donuts Amarelo N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279805;Peitoral Comum .40 Preto N.8 ;FIDELIDADE;55.09;44.07;;13/08/2026;09/09/2026;Coleiras
303323;Conj Guia Peitoral Comum Bombom N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303299;Conj Guia Peitoral Comum Donuts Amarelo N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279652;Conj Guia Peitoral Conforto Azul  N.2;FIDELIDADE;57.09;45.67;;13/08/2026;09/09/2026;Coleiras
303273;Conj Guia Peit Comum Candy Verde N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303271;Conj Guia Peit Comum Candy Lilas N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303295;Conj Guia Peitoral Comum Cactus N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303306;Conj Guia Peitoral Comum Xadrez Chic N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303314;Conj Guia Peitoral Comum Classic N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279799;Peitoal  Comum .30 Veremlho N.6;FIDELIDADE;44.09;35.27;;13/08/2026;09/09/2026;Coleiras
303292;Conj Guia Peitoral Comum Cactus N.1;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303302;Conj Guia Peitoral Comum Donuts Amarelo N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303228;Kit Peitoral 8 + Guia Premium Vibe P;FIDELIDADE;94.99;75.99;;13/08/2026;09/09/2026;Coleiras
303305;Conj Guia Peitoral Comum Donuts Amarelo N.7;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
303317;Conj Guia Peitoral Comum Classic N.5;FIDELIDADE;40.99;32.79;;13/08/2026;09/09/2026;Coleiras
303318;Conj Guia Peitoral Comum Classic N.6;FIDELIDADE;47.99;38.39;;13/08/2026;09/09/2026;Coleiras
279791;Peitoal  Comum .30 Preto N.5 ;FIDELIDADE;44.09;35.27;;13/08/2026;09/09/2026;Coleiras
303239;Peitoral Fresh Premium Vibe G;FIDELIDADE;85.99;68.79;;13/08/2026;09/09/2026;Coleiras
303233;Peitoral Fresh Premium Aventura G;FIDELIDADE;85.99;68.79;;13/08/2026;09/09/2026;Coleiras
303267;Conj Guia Peit Comum Candy Laranja N.3;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303293;Conj Guia Peitoral Comum Cactus N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
303303;Conj Guia Peitoral Comum Donuts Amarelo N.5;FIDELIDADE;40.99;32.79;;13/08/2026;09/09/2026;Coleiras
303259;Conj Guia Peit Ajustavel Neon Verde N.4;FIDELIDADE;25.99;20.79;;13/08/2026;09/09/2026;Coleiras
303321;Conj Guia Peitoral Comum Bombom N.2;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
279663;Conj Guia Peit Comum Poa Rosa  N.1 ;FIDELIDADE;24.69;19.75;;13/08/2026;09/09/2026;Coleiras
303229;Kit Peitoral 8 + Guia Premium Vibe M;FIDELIDADE;106.99;85.59;;13/08/2026;09/09/2026;Coleiras
303231;Peitoral Fresh Premium Aventura P;FIDELIDADE;54.99;43.99;;13/08/2026;09/09/2026;Coleiras
303232;Peitoral Fresh Premium Aventura M;FIDELIDADE;64.99;51.99;;13/08/2026;09/09/2026;Coleiras
303291;Conj Guia Peitoral Comum Triangulos N.7;FIDELIDADE;51.99;41.59;;13/08/2026;09/09/2026;Coleiras
303240;Peitoral Fresh Premium Aurora P;FIDELIDADE;54.99;43.99;;13/08/2026;09/09/2026;Coleiras
303309;Conj Guia Peitoral Comum Xadrez Chic N.4;FIDELIDADE;27.99;22.39;;13/08/2026;09/09/2026;Coleiras
